benchmark,topology,pinning,allocator,instance_id,interop_threads,intraop_threads,batch_size,latency(min),latency(avg),latency(max),flops
resnet_manual_script,sequential,numactl,default,1,1,16,2,16.20326300326269,16.7010567602847,23.636697995243594,0.0
resnet_manual_script,sequential,numactl,default,1,1,1,4,219.65739900042536,220.93747737031663,222.85088199714664,0.0
resnet_manual_script,sequential,numactl,default,1,1,2,4,111.13831299735466,113.00179199031845,134.47589700081153,0.0
resnet_manual_script,sequential,numactl,default,1,1,3,4,78.68824400065932,79.67811186979816,96.63110499968752,0.0
resnet_manual_script,sequential,numactl,default,1,1,4,4,59.52016700030072,61.21181842012447,76.76835200254573,0.0
resnet_manual_script,sequential,numactl,default,1,1,5,4,56.535149000410456,57.47742706007557,72.37447700026678,0.0
resnet_manual_script,sequential,numactl,default,1,1,6,4,47.83509000117192,48.57568087987602,64.19250199542148,0.0
resnet_manual_script,sequential,numactl,default,1,1,7,4,42.1855470049195,42.716873660392594,57.06294200354023,0.0
resnet_manual_script,sequential,numactl,default,1,1,8,4,36.755686000105925,37.63163267962227,48.025956995843444,0.0
resnet_manual_script,sequential,numactl,default,1,1,9,4,38.53052399790613,39.25631401965802,52.70228799781762,0.0
resnet_manual_script,sequential,numactl,default,1,1,10,4,35.194541997043416,35.66642383993894,50.108018003811594,0.0
resnet_manual_script,sequential,numactl,default,1,1,11,4,33.028453995939344,33.50430053964374,43.61107500153594,0.0
resnet_manual_script,sequential,numactl,default,1,1,12,4,30.605051993916277,30.90348331927089,41.05888699996285,0.0
resnet_manual_script,sequential,numactl,default,1,1,13,4,30.575684002542403,30.88421019994712,41.27923500345787,0.0
resnet_manual_script,sequential,numactl,default,1,1,14,4,29.232132001197897,29.915843730195775,46.74624900508206,0.0
resnet_manual_script,sequential,numactl,default,1,1,15,4,27.75811299943598,28.36793165995914,46.30754500249168,0.0
resnet_manual_script,sequential,numactl,default,1,1,16,4,25.903844994900282,26.31844662981166,40.285624003445264,0.0
resnet_manual_script,sequential,numactl,default,1,1,1,8,445.19931400282076,448.53009202022804,450.6891679993714,0.0
resnet_manual_script,sequential,numactl,default,1,1,2,8,223.4264539947617,227.0158116899256,248.56312300107675,0.0
resnet_manual_script,sequential,numactl,default,1,1,3,8,156.00017499673413,158.3499487698282,180.38180499570444,0.0
resnet_manual_script,sequential,numactl,default,1,1,4,8,117.80704299599165,120.60193502999027,135.8453680004459,0.0
resnet_manual_script,sequential,numactl,default,1,1,5,8,111.47270099900197,113.42514110998309,131.67529099882813,0.0
resnet_manual_script,sequential,numactl,default,1,1,6,8,95.88426299887942,97.48131699016085,115.94156600040151,0.0
resnet_manual_script,sequential,numactl,default,1,1,7,8,85.16023099946324,86.4895961998991,103.89352099446114,0.0
resnet_manual_script,sequential,numactl,default,1,1,8,8,71.68293599534081,73.44254878989886,91.31547799916007,0.0
resnet_manual_script,sequential,numactl,default,1,1,9,8,73.88216300023487,74.990601939935,90.7747079982073,0.0
resnet_manual_script,sequential,numactl,default,1,1,10,8,67.12415999936638,68.42094067978906,85.8649610017892,0.0
