benchmark,topology,interop_threads,intraop_threads,batch_size,latency(min),latency(avg),latency(max),flops
resnet_manual_script,sequential,1,9,8,73.30309459939599,74.1556607466191,91.2365261465311,856.6339548514668
resnet_manual_script,sequential,1,10,8,72.55040295422077,73.813870344311,91.79746685549617,860.6005435521233
resnet_manual_script,sequential,1,11,8,67.15917121618986,68.22468983475119,84.6348199993372,931.1036384901679
resnet_manual_script,sequential,1,12,8,57.56685836240649,58.696758998557925,77.33274064958096,1082.2447103350405
resnet_manual_script,sequential,1,13,8,62.57546599954367,63.50322266109287,84.20939603820443,1000.3312316765305
resnet_manual_script,sequential,1,14,8,54.559809155762196,54.99098362401128,76.03692216798663,1155.1758625438144
resnet_manual_script,sequential,1,15,8,51.417193841189146,52.09489157423377,71.37800799682736,1219.3951272454362
resnet_manual_script,sequential,1,16,8,48.29420708119869,49.30728180333972,63.10716597363353,1288.3341895293308
resnet_manual_script,sequential,1,17,8,51.74927692860365,52.225130489096045,73.04774038493633,1216.3542023751013
resnet_manual_script,sequential,1,18,8,44.54307397827506,44.95148492977023,54.319134913384914,1413.1737147114688
resnet_manual_script,sequential,1,1,16,1379.5460839755833,1387.729002586566,1395.691785030067,91.55138567774854
resnet_manual_script,sequential,1,2,16,721.2940477766097,729.945044866763,758.5095982067287,174.05216190650376
resnet_manual_script,sequential,1,3,16,490.02871196717024,493.2373411860317,515.4843162745237,257.58088961087356
resnet_manual_script,sequential,1,4,16,350.88927391916513,353.2787425117567,376.25796627253294,359.62682676207714
resnet_manual_script,sequential,1,5,16,308.7447062134743,313.83219338953495,333.40271934866905,404.8294464625074
resnet_manual_script,sequential,1,6,16,243.77761594951153,248.12749583274126,267.32321409508586,512.0291594674432
resnet_manual_script,sequential,1,7,16,221.11974097788334,224.69128851778805,243.71121358126402,565.4358652268888
resnet_manual_script,sequential,1,8,16,188.88362869620323,191.23786132782698,213.17109186202288,664.3481173124435
resnet_manual_script,sequential,1,9,16,179.15553227066994,181.6703086066991,201.43803814426064,699.335593726817
resnet_manual_script,sequential,1,10,16,154.94807995855808,160.70637742988765,177.101984154433,790.5629830242937
resnet_manual_script,sequential,1,11,16,149.3355599232018,150.870706778951,171.28767585381866,842.1019284952764
resnet_manual_script,sequential,1,12,16,137.88992213085294,140.35972187295556,162.0810879394412,905.1636141527554
resnet_manual_script,sequential,1,13,16,142.3280448652804,144.4707491574809,168.05844102054834,879.4064810552777
