benchmark,topology,interop_threads,intraop_threads,batch_size,throughput
resnet_manual_script,interleave,1,4,2,44.61867278768184
resnet_manual_script,interleave,1,5,2,52.82552166023258
resnet_manual_script,interleave,1,6,2,61.54020281045924
resnet_manual_script,interleave,1,7,2,67.95350367916447
resnet_manual_script,interleave,1,8,2,77.70352026484296
resnet_manual_script,interleave,1,9,2,82.15512557881476
resnet_manual_script,interleave,1,10,2,86.74448557632451
resnet_manual_script,interleave,1,11,2,90.31710178876408
resnet_manual_script,interleave,1,12,2,99.44856561460756
resnet_manual_script,interleave,1,13,2,102.07617534250447
resnet_manual_script,interleave,1,14,2,110.22142506287041
resnet_manual_script,interleave,1,15,2,110.62270197857602
resnet_manual_script,interleave,1,16,2,121.78730686931696
resnet_manual_script,interleave,1,17,2,110.18209550828796
resnet_manual_script,interleave,1,18,2,116.16192089935065
resnet_manual_script,interleave,1,1,4,13.364866880794803
resnet_manual_script,interleave,1,2,4,25.558505546381454
resnet_manual_script,interleave,1,3,4,36.94669989077486
resnet_manual_script,interleave,1,4,4,50.542854070895736
resnet_manual_script,interleave,1,5,4,59.14363828988816
resnet_manual_script,interleave,1,6,4,69.65759431049227
resnet_manual_script,interleave,1,7,4,78.3689326496349
resnet_manual_script,interleave,1,8,4,87.97313471563463
resnet_manual_script,interleave,1,9,4,94.65061167127747
resnet_manual_script,interleave,1,10,4,101.5945778817805
resnet_manual_script,interleave,1,11,4,110.95205579813675
resnet_manual_script,interleave,1,12,4,118.5857588297675
resnet_manual_script,interleave,1,13,4,124.51474122431048
resnet_manual_script,interleave,1,14,4,132.31717693534776
resnet_manual_script,interleave,1,15,4,137.29617636637093
resnet_manual_script,interleave,1,16,4,147.000315251165
resnet_manual_script,interleave,1,17,4,143.58959704417356
resnet_manual_script,interleave,1,18,4,153.78301834558962
resnet_manual_script,interleave,1,1,8,12.754799858186354
resnet_manual_script,interleave,1,2,8,25.82937967492868
resnet_manual_script,interleave,1,3,8,38.372161821880695
resnet_manual_script,interleave,1,4,8,50.71220180701217
resnet_manual_script,interleave,1,5,8,61.026299592904635
resnet_manual_script,interleave,1,6,8,71.21527487050241
resnet_manual_script,interleave,1,7,8,81.47855213150586
resnet_manual_script,interleave,1,8,8,98.29107192728442
resnet_manual_script,interleave,1,9,8,103.66978156557536
resnet_manual_script,interleave,1,10,8,111.64816526423995
resnet_manual_script,interleave,1,11,8,120.94672880380192
resnet_manual_script,interleave,1,12,8,133.91374691218874
resnet_manual_script,interleave,1,13,8,127.42929850147779
resnet_manual_script,interleave,1,14,8,147.47948673442468
resnet_manual_script,interleave,1,15,8,158.30041328776613
resnet_manual_script,interleave,1,16,8,172.39833535002086
resnet_manual_script,interleave,1,17,8,170.61626129702714
resnet_manual_script,interleave,1,18,8,159.61791357747538
resnet_manual_script,interleave,1,1,16,11.923419847174843
resnet_manual_script,interleave,1,2,16,21.383842054134043
resnet_manual_script,interleave,1,3,16,31.626542977134523
resnet_manual_script,interleave,1,4,16,46.91506638774311
resnet_manual_script,interleave,1,5,16,53.1654846385186
resnet_manual_script,interleave,1,6,16,61.40322058671874
resnet_manual_script,interleave,1,7,16,69.12027972722534
resnet_manual_script,interleave,1,8,16,82.0079076243497
resnet_manual_script,interleave,1,9,16,88.83062652967594
resnet_manual_script,interleave,1,10,16,95.65026042680218
resnet_manual_script,interleave,1,11,16,101.7988863709696
resnet_manual_script,interleave,1,12,16,102.8708276090384
resnet_manual_script,interleave,1,13,16,117.6305563254107
resnet_manual_script,interleave,1,14,16,110.3380348042034
resnet_manual_script,interleave,1,15,16,129.79137153416417
resnet_manual_script,interleave,1,16,16,142.43960324834626
resnet_manual_script,interleave,1,17,16,139.88664126264445
resnet_manual_script,interleave,1,18,16,133.20808081693949
resnet_manual_script,interleave,1,1,32,10.364781110813633
resnet_manual_script,interleave,1,2,32,19.758557145818603
resnet_manual_script,interleave,1,3,32,29.537321360460503
resnet_manual_script,interleave,1,4,32,41.4997602082448
resnet_manual_script,interleave,1,5,32,47.34507360778548
resnet_manual_script,interleave,1,6,32,55.55788228272987
resnet_manual_script,interleave,1,7,32,59.32314183810962
resnet_manual_script,interleave,1,8,32,68.90852729095903
resnet_manual_script,interleave,1,9,32,81.70268987906094
resnet_manual_script,interleave,1,10,32,88.0492037678934
resnet_manual_script,interleave,1,11,32,100.79973145510237
resnet_manual_script,interleave,1,12,32,93.20692420107551
resnet_manual_script,interleave,1,13,32,96.2798639989238
resnet_manual_script,interleave,1,14,32,107.14779826163884
resnet_manual_script,interleave,1,15,32,104.98271972085112
resnet_manual_script,interleave,1,16,32,115.22709211516654
resnet_manual_script,interleave,1,17,32,121.72634893835493
resnet_manual_script,interleave,1,18,32,121.49885814873174
resnet_manual_script,interleave,1,1,64,10.07103379911252
