benchmark,interop_threads,intraop_threads,batch_size,throughput
resnet_manual_none,9,7,8,48.20807787963634
resnet_manual_none,9,8,8,52.67552902397528
resnet_manual_none,9,9,8,58.35023259522068
resnet_manual_none,9,10,8,67.30697199837945
resnet_manual_none,9,11,8,63.406670756695654
resnet_manual_none,9,12,8,69.51530322344937
resnet_manual_none,9,13,8,72.10981442805303
resnet_manual_none,9,14,8,80.01775464971948
resnet_manual_none,9,15,8,82.7859456787154
resnet_manual_none,9,16,8,86.40684078844711
resnet_manual_none,9,17,8,83.97357016022374
resnet_manual_none,9,18,8,94.58290291773551
resnet_manual_none,9,19,8,27.104862097205388
resnet_manual_none,10,1,8,8.943154372120736
resnet_manual_none,10,2,8,16.436967972064572
resnet_manual_none,10,3,8,22.468400558058764
resnet_manual_none,10,4,8,29.158580007945616
resnet_manual_none,10,5,8,39.94830996310008
resnet_manual_none,10,6,8,39.22463774604484
resnet_manual_none,10,7,8,47.324709619715314
resnet_manual_none,10,8,8,55.42550048735355
resnet_manual_none,10,9,8,58.53403351485335
resnet_manual_none,10,10,8,63.03163121932625
resnet_manual_none,10,11,8,62.988073405845576
resnet_manual_none,10,12,8,69.08427745272034
resnet_manual_none,10,13,8,73.52572500199398
resnet_manual_none,10,14,8,75.08406501442188
resnet_manual_none,10,15,8,79.10524718850981
resnet_manual_none,10,16,8,83.46967825594824
resnet_manual_none,10,17,8,81.73902150554687
resnet_manual_none,10,18,8,88.17138402642814
resnet_manual_none,10,19,8,25.794878208870884
resnet_manual_none,11,1,8,9.085082238979723
resnet_manual_none,11,2,8,17.782814492707548
resnet_manual_none,11,3,8,23.54503882141355
resnet_manual_none,11,4,8,30.997261502877578
resnet_manual_none,11,5,8,37.965169757476474
resnet_manual_none,11,6,8,42.45664581851056
resnet_manual_none,11,7,8,49.854709252988826
resnet_manual_none,11,8,8,45.3890331251457
resnet_manual_none,11,9,8,67.33829171633347
resnet_manual_none,11,10,8,60.076163025916706
resnet_manual_none,11,11,8,61.70407038437467
resnet_manual_none,11,12,8,68.2390704116505
resnet_manual_none,11,13,8,74.54332684315384
resnet_manual_none,11,14,8,72.67187338502002
resnet_manual_none,11,15,8,78.40922804797043
resnet_manual_none,11,16,8,82.56660326900437
resnet_manual_none,11,17,8,88.09697938022508
resnet_manual_none,11,18,8,81.39640727396505
resnet_manual_none,11,19,8,27.267866788386634
resnet_manual_none,12,1,8,9.07469902993702
resnet_manual_none,12,2,8,15.635972849143176
resnet_manual_none,12,3,8,23.501107436430036
resnet_manual_none,12,4,8,34.658604525067524
resnet_manual_none,12,5,8,38.167727270052296
resnet_manual_none,12,6,8,43.44055370437413
resnet_manual_none,12,7,8,46.364508300144166
resnet_manual_none,12,8,8,53.62784562471059
resnet_manual_none,12,9,8,57.660223410973416
resnet_manual_none,12,10,8,62.83229936615102
resnet_manual_none,12,11,8,75.88230513407683
resnet_manual_none,12,12,8,71.60561347191597
resnet_manual_none,12,13,8,76.39950205421793
resnet_manual_none,12,14,8,74.54200853402656
resnet_manual_none,12,15,8,80.62246878190243
resnet_manual_none,12,16,8,74.92056292931281
resnet_manual_none,12,17,8,89.49013221302798
resnet_manual_none,12,18,8,78.12079853459358
resnet_manual_none,12,19,8,26.966600209041644
resnet_manual_none,13,1,8,9.162863901812779
resnet_manual_none,13,2,8,16.452033622565366
resnet_manual_none,13,3,8,25.50075205459125
resnet_manual_none,13,4,8,30.550185310048832
resnet_manual_none,13,5,8,39.67923078244527
resnet_manual_none,13,6,8,46.489491787863855
resnet_manual_none,13,7,8,48.40387198016802
resnet_manual_none,13,8,8,57.49210141703604
resnet_manual_none,13,9,8,62.200004623327516
resnet_manual_none,13,10,8,61.172392986520016
resnet_manual_none,13,11,8,61.36519889754562
resnet_manual_none,13,12,8,72.63351637065068
resnet_manual_none,13,13,8,70.78899076878186
resnet_manual_none,13,14,8,77.54849098976703
