model,cores,batch_size,instances,allocator,throughput,mean_ts_latency,mean_predict_latency
mobilenet,4,32,1,tcmalloc,194.80,164.273,154.15
mobilenet,5,32,1,tcmalloc,209.64,152.643,142.65
mobilenet,6,32,1,tcmalloc,220.53,145.106,135.18
mobilenet,7,32,1,tcmalloc,260.75,122.722,113.03
mobilenet,8,32,1,tcmalloc,264.90,120.801,110.98
mobilenet,9,32,1,tcmalloc,281.97,113.487,103.7
mobilenet,10,32,1,tcmalloc,281.32,113.749,104.11
mobilenet,11,32,1,tcmalloc,301.65,106.083,96.47
mobilenet,12,32,1,tcmalloc,317.46,100.801,91.3
mobilenet,13,32,1,tcmalloc,314.61,101.713,92.0
mobilenet,14,32,1,tcmalloc,321.80,99.441,89.59
mobilenet,15,32,1,tcmalloc,317.20,100.882,91.5
mobilenet,16,32,1,tcmalloc,318.99,100.318,90.43
mobilenet,1,64,1,tcmalloc,56.95,1123.790,1099.85
mobilenet,2,64,1,tcmalloc,107.13,597.410,578.57
mobilenet,3,64,1,tcmalloc,150.74,424.579,407.49
mobilenet,4,64,1,tcmalloc,193.76,330.307,314.56
mobilenet,5,64,1,tcmalloc,214.07,298.961,283.0
mobilenet,6,64,1,tcmalloc,229.04,279.430,263.49
mobilenet,7,64,1,tcmalloc,256.76,249.258,233.75
mobilenet,8,64,1,tcmalloc,265.18,241.347,225.94
mobilenet,9,64,1,tcmalloc,278.50,229.802,214.23
mobilenet,10,64,1,tcmalloc,283.51,225.745,210.51
mobilenet,11,64,1,tcmalloc,298.71,214.255,199.25
mobilenet,12,64,1,tcmalloc,308.79,207.259,192.29
mobilenet,13,64,1,tcmalloc,310.23,206.296,191.13
mobilenet,14,64,1,tcmalloc,318.85,200.722,185.88
mobilenet,15,64,1,tcmalloc,309.18,207.002,191.71
mobilenet,16,64,1,tcmalloc,316.37,202.292,187.13
mobilenet,1,128,1,tcmalloc,55.75,2295.783,2250.76
mobilenet,2,128,1,tcmalloc,106.52,1201.597,1167.27
mobilenet,3,128,1,tcmalloc,151.80,843.212,812.48
mobilenet,4,128,1,tcmalloc,192.97,663.323,634.01
mobilenet,5,128,1,tcmalloc,217.27,589.135,561.29
mobilenet,6,128,1,tcmalloc,233.15,548.993,521.01
mobilenet,7,128,1,tcmalloc,254.73,502.494,475.04
mobilenet,8,128,1,tcmalloc,263.02,486.660,458.67
mobilenet,9,128,1,tcmalloc,275.52,464.578,437.74
mobilenet,10,128,1,tcmalloc,280.52,456.294,428.6
mobilenet,11,128,1,tcmalloc,294.38,434.812,407.58
mobilenet,12,128,1,tcmalloc,304.15,420.850,393.96
mobilenet,13,128,1,tcmalloc,304.51,420.345,393.75
mobilenet,14,128,1,tcmalloc,310.55,412.176,385.41
mobilenet,15,128,1,tcmalloc,312.57,409.505,382.86
mobilenet,16,128,1,tcmalloc,313.04,408.900,381.91
