benchmark,topology,pinning,ht,allocator,instance_id,interop_threads,intraop_threads,batch_size,latency(min),latency(avg),latency(max),flops
bert_manual_script,sequential,numactl,false,default,1,1,10,128,399.54960194882005,404.1200609115185,487.19046998303384,0.0
bert_manual_script,sequential,numactl,false,default,1,1,11,128,377.4665140081197,387.2104034462245,462.3617380275391,0.0
bert_manual_script,sequential,numactl,false,default,1,1,12,128,333.2012169994414,343.7302322522737,415.3171710204333,0.0
bert_manual_script,sequential,numactl,false,default,1,1,13,128,356.02917399955913,365.45374270761386,430.94296200433746,0.0
bert_manual_script,sequential,numactl,false,default,1,1,14,128,315.6381680164486,327.25280646176543,398.56557705206797,0.0
bert_manual_script,sequential,numactl,false,default,1,1,15,128,330.8699990157038,344.6607876988128,424.3752210168168,0.0
bert_manual_script,sequential,numactl,false,default,1,1,16,128,287.9389629815705,301.56668414070737,370.05468999268487,0.0
bert_manual_script,sequential,numactl,false,default,1,1,1,256,5507.639469986316,5724.073812242132,6647.806288965512,0.0
bert_manual_script,sequential,numactl,false,default,1,1,2,256,2840.3569430229254,2900.7837498327717,3478.366252966225,0.0
bert_manual_script,sequential,numactl,false,default,1,1,3,256,1904.9079800024629,1944.0798193070805,2485.3262759861536,0.0
bert_manual_script,sequential,numactl,false,default,1,1,4,256,1461.1775130033493,1504.0286017075414,1806.4374550012872,0.0
bert_manual_script,sequential,numactl,false,default,1,1,5,256,1210.1281940122135,1245.7125062815612,1536.8100900086574,0.0
bert_manual_script,sequential,numactl,false,default,1,1,6,256,1021.7779999948107,1049.2267984879436,1340.9927309839986,0.0
bert_manual_script,sequential,numactl,false,default,1,1,7,256,912.5628889887594,927.0110005961033,1192.3308889963664,0.0
bert_manual_script,sequential,numactl,false,default,1,1,8,256,809.8983410163783,848.9673215110088,1057.6547980308533,0.0
bert_manual_script,sequential,numactl,false,default,1,1,9,256,809.9049489828758,827.6315767952474,1035.8303239918314,0.0
bert_manual_script,sequential,numactl,false,default,1,1,10,256,727.9989859671332,758.8471636507893,940.2602560003288,0.0
bert_manual_script,sequential,numactl,false,default,1,1,11,256,674.3280009832233,689.1115096345311,861.8714300100692,0.0
bert_manual_script,sequential,numactl,false,default,1,1,12,256,632.8814150183462,656.4985771983629,834.0673589846119,0.0
bert_manual_script,sequential,numactl,false,default,1,1,13,256,638.5363529552706,659.4372906774515,828.2303970190696,0.0
bert_manual_script,sequential,numactl,false,default,1,1,14,256,606.4269909984432,619.5263868168695,793.8381319982,0.0
bert_manual_script,sequential,numactl,false,default,1,1,15,256,577.6010300032794,608.7441173108527,746.1007359670475,0.0
bert_manual_script,sequential,numactl,false,default,1,1,16,256,550.841071002651,580.1488549413625,734.8173030186445,0.0
bert_manual_script,sequential,numactl,false,default,1,1,1,512,11094.683782954235,11288.79313783662,13888.783951988444,0.0
bert_manual_script,sequential,numactl,false,default,1,1,2,512,5641.198081022594,5766.860709443572,7285.508764034603,0.0
bert_manual_script,sequential,numactl,false,default,1,1,3,512,3716.8999819550663,3844.8953903384972,4868.804179015569,0.0
bert_manual_script,sequential,numactl,false,default,1,1,4,512,2861.836601048708,2932.9932905896567,3748.1700730277225,0.0
bert_manual_script,sequential,numactl,false,default,1,1,5,512,2317.39231699612,2381.8138121266384,3043.4006809955463,0.0
bert_manual_script,sequential,numactl,false,default,1,1,6,512,1986.0916130128317,2042.9845922486859,2613.010236003902,0.0
bert_manual_script,sequential,numactl,false,default,1,1,7,512,1744.4467070163228,1775.0513831479475,2283.73574197758,0.0
bert_manual_script,sequential,numactl,false,default,1,1,8,512,1570.5748540349305,1613.038963440922,2052.9267879901454,0.0
bert_manual_script,sequential,numactl,false,default,1,1,9,512,1506.3973350333981,1552.4949532176834,1948.482317966409,0.0
bert_manual_script,sequential,numactl,false,default,1,1,10,512,1390.0102900224738,1438.1561101204716,1783.3023100392893,0.0
bert_manual_script,sequential,numactl,false,default,1,1,11,512,1295.0039169518277,1321.5912075340748,1668.764786038082,0.0
bert_manual_script,sequential,numactl,false,default,1,1,12,512,1217.0535280019976,1251.7795909958659,1566.9095190241933,0.0
bert_manual_script,sequential,numactl,false,default,1,1,13,512,1221.943732991349,1252.0876172120916,1569.7278309962712,0.0
bert_manual_script,sequential,numactl,false,default,1,1,14,512,1162.6632990082726,1192.343342435197,1494.3130479659885,0.0
bert_manual_script,sequential,numactl,false,default,1,1,15,512,1116.2450409610756,1155.8658368012402,1451.0332409990951,0.0
bert_manual_script,sequential,numactl,false,default,1,1,16,512,1068.2236020220444,1105.326264987234,1387.1281880419701,0.0
bert_manual_script,sequential,numactl,false,default,1,1,1,1024,26547.268615977373,27220.40835083986,28339.961379999295,0.0
bert_manual_script,sequential,numactl,false,default,1,1,2,1024,14070.42433298193,14364.510524901561,14944.37416701112,0.0
bert_manual_script,sequential,numactl,false,default,1,1,3,1024,9562.895604001824,9807.64179668855,10029.964815999847,0.0
bert_manual_script,sequential,numactl,false,default,1,1,4,1024,7491.180318989791,7621.553234508028,7796.829817001708,0.0
bert_manual_script,sequential,numactl,false,default,1,1,5,1024,6023.93599197967,6152.353764579166,6327.602148987353,0.0
bert_manual_script,sequential,numactl,false,default,1,1,6,1024,5216.6828400222585,5312.111578280455,5481.782077986281,0.0
bert_manual_script,sequential,numactl,false,default,1,1,7,1024,4478.222133999225,4617.931244449574,4756.575845996849,0.0
bert_manual_script,sequential,numactl,false,default,1,1,8,1024,3976.0550529463217,4149.163007467287,4342.180776991881,0.0
bert_manual_script,sequential,numactl,false,default,1,1,9,1024,3739.452806999907,3898.307504715631,4099.531384010334,0.0
bert_manual_script,sequential,numactl,false,default,1,1,10,1024,3611.3491450087167,3654.559004230541,3818.2766520185396,0.0
bert_manual_script,sequential,numactl,false,default,1,1,11,1024,3371.295816032216,3468.793712646002,3560.771513963118,0.0
bert_manual_script,sequential,numactl,false,default,1,1,12,1024,3187.206366972532,3240.6020822306164,3345.3143509686925,0.0
bert_manual_script,sequential,numactl,false,default,1,1,13,1024,3139.8925440153107,3218.1275916978484,3327.6764329639263,0.0
